Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2010,4,Wesley,Johnson,Wesley Johnson,JR,SF,Syracuse,B,9.9,4.4,1.9,1,1.1,0.369,271,1.9,16.5,8.5,2.2,1.8,1.7,0.415
2010,5,DeMarcus,Cousins,DeMarcus Cousins,FR,C,Kentucky,B,25.6,12.7,3.6,1.7,1.5,0.321,109,7.9,15.1,9.8,1,1.8,1,0.167
2010,6,Ekpe,Udoh,Ekpe Udoh,JR,PF,Baylor,P,5.6,4.2,0.9,1.7,0.7,0,2,2.7,13.9,9.8,2.7,3.7,0.8,0.269
2010,7,Greg,Monroe,Greg Monroe,SO,PF,Georgetown,P,16,10.2,3.5,0.8,1.3,0,4,7,16.1,9.6,3.8,1.5,1.2,0.259
2010,8,Al-Farouq,Aminu,Al-Farouq Aminu,SO,SF,Wake Forest,P,10.9,7.7,1.6,0.8,1.2,0.36,172,3.3,15.8,10.7,1.3,1.4,1.4,0.273
2010,9,Gordon,Hayward,Gordon Hayward,SO,SF,Butler,M,19.3,5.1,5.2,0.6,1.4,0.415,246,8.7,15.5,8.2,1.7,0.8,1.1,0.294
2010,10,Paul,George,Paul George,SO,SF,Fresno State,M,24.2,7.6,4.1,0.6,1.9,0.392,286,10.8,16.8,7.2,3,0.8,2.2,0.353
2010,11,Cole,Aldrich,Cole Aldrich,JR,C,Kansas,B,5.5,5.5,1.2,1.1,0.7,0,0,2.2,11.3,9.8,0.9,3.5,0.8,0
2010,12,Xavier,Henry,Xavier Henry,FR,SG,Kansas,B,10,2.7,1.2,0.2,1,0.346,81,0.3,13.4,4.4,1.5,0.5,1.5,0.418
2010,13,Ed,Davis,Ed Davis,SO,PF,North Carolina,B,8.3,7.6,1.2,1.2,0.6,0,1,6.3,13.4,9.6,1,2.8,0.4,0
2010,14,Patrick,Patterson,Patrick Patterson,JR,PF,Kentucky,B,10.4,5.3,1.9,0.7,0.8,0.386,132,6.1,14.3,7.4,0.9,1.3,0.7,0.348
2010,15,Larry,Sanders,Larry Sanders,JR,PF,VCU,M,9.8,9.5,1.2,2.8,0.7,0,2,6,14.4,9.1,1,2.6,0.7,0.25
2010,16,Luke,Babbit,Luke Babbit,SO,SF,Nevada,M,6.3,3.3,1.1,0.4,0.3,0.513,115,1.6,21.9,8.9,2.1,0.8,1,0.416
2010,18,Eric,Bledsoe,Eric Bledsoe,FR,PG,Kentucky,B,20.4,5.2,6.1,0.7,2,0.372,179,7,11.3,3.1,2.9,0.3,1.4,0.383
2010,19,Avery,Bradley,Avery Bradley,FR,SG,Texas,B,14.9,3.8,2.1,0.4,1.6,0.395,200,2.5,11.6,2.9,2.1,0.5,1.3,0.375
2010,20,James,Anderson,James Anderson,JR,SG,Oklahoma State,P,10.1,3.8,1.9,0.4,0.9,0.328,351,1.9,22.3,5.8,2.4,0.6,1.4,0.341
2010,21,Craig,Brackins,Craig Brackins,JR,PF,Iowa State,P,2.7,1.3,0.6,0.1,0.3,0.333,9,-0.1,16.5,8.5,2.2,1.2,0.8,0.31
2010,22,Elliot,Williams,Elliot Williams,SO,SG,Memphis,M,6,1.9,1.1,0.1,0.5,0.296,125,0.3,17.9,4,3.8,0.1,1.3,0.366
2010,23,Trevor,Booker,Trevor Booker,SR,PF,Clemson,P,8.4,6.6,1.1,0.9,1,0.345,84,4.3,15.2,8.4,2.5,1.4,1.3,0.265
2010,24,Damion,James,Damion James,SR,SF,Texas,B,4.9,3.7,0.8,1,1,0,3,0.1,18,10.3,1,1.2,1.7,0.383
2010,25,Dominique,Jones,Dominique Jones,JR,SG,South Florida,M,4,1.6,2.9,0.2,0.5,0.125,8,0.2,21.4,6.1,3.6,0.6,1.7,0.311
2010,26,Quincy,Pondexter,Quincy Pondexter,SR,SF,Washington,P,7.2,2.6,1.3,0.3,0.6,0.395,152,3.2,19.3,7.4,1.8,0.6,1.3,0.353
2010,27,Jordan,Crawford,Jordan Crawford,SO,SG,Xavier,M,14.7,3,3.5,0.1,0.9,0.337,246,2.8,20.5,4.7,2.9,0.2,1.3,0.391
2010,28,Greivis,Vasquez,Greivis Vasquez,SR,SG,Maryland,P,13.9,4.3,9,0.1,0.9,0.379,351,3.8,19.6,4.6,6.3,0.4,1.7,0.359
2010,29,Daniel,Orton,Daniel Orton,FR,C,Kentucky,B,3,2.8,0.7,0.7,0.5,0,1,0.5,3.4,3.3,0.4,1.4,0.6,0
2010,30,Lazar,Hayward,Lazar Hayward,SR,SF,Marquette,P,3.8,1.7,0.8,0.2,0.5,0.283,60,0.3,18.1,7.5,1.5,0.5,1.9,0.349
2011,1,Kyrie,Irving,Kyrie Irving,FR,PG,Duke,B,22.5,3.7,6.1,0.4,1.5,0.418,378,10.4,17.5,3.4,4.3,0.5,1.5,0.462
2011,2,Derrick,Williams,Derrick Williams,SO,PF,Arizona,P,12,5.5,0.8,0.5,0.6,0.332,196,3,19.5,8.3,1.1,0.7,1,0.568
2011,4,Tristan,Thompson,Tristan Thompson,FR,PF,Texas,B,11.7,9.7,1.3,1,0.7,0,3,6.8,13.1,7.8,1.3,2.4,0.9,0
2011,8,Brandon,Knight,Brandon Knight,FR,PG,Kentucky,B,19.7,3.9,5.3,0.3,1.4,0.389,321,4.5,17.3,4,4.2,0.2,0.7,0.377
2011,9,Kemba,Walker,Kemba Walker,JR,PG,Connecticut,B,19,4.2,6.1,0.7,1.7,0.343,166,5.1,23.5,5.4,4.5,0.2,1.9,0.33
2011,10,Jimmer,Fredette,Jimmer Fredette,SR,PG,BYU,P,7.6,1.2,1.8,0.1,0.5,0.476,84,1.1,28.9,3.4,4.3,0,1.3,0.396
2011,11,Klay,Thompson,Klay Thompson,JR,SG,Washington State,P,21.7,3.9,2.9,0.8,1.1,0.439,545,8.8,21.6,5.2,3.7,0.9,1.6,0.398
2011,12,Alec,Burks,Alec Burks,SO,SG,Colorado,P,14.3,4.2,3,0.2,0.9,0.387,75,3.2,20.5,6.5,2.9,0.4,1.1,0.292
2011,13,Markieff,Morris,Markieff Morris,JR,PF,Kansas,B,15.3,6.2,2.3,0.8,1.2,0.347,124,6.4,13.6,8.3,1.4,1.1,0.8,0.424
2011,14,Marcus,Morris,Marcus Morris,JR,PF,Kansas,B,13.8,5.3,2,0.3,1,0.381,260,4.2,17.2,7.6,1.6,0.6,0.8,0.342
2011,15,Kawhi,Leonard,Kawhi Leonard,SO,SF,San Diego State,M,20.2,7.2,2.6,0.9,2.3,0.483,147,8.6,15.5,10.6,2.5,0.6,1.4,0.291
2011,16,Nikola,Vucevic,Nikola Vucevic,JR,C,USC,P,19.3,11.9,2.8,1,1.1,0.375,8,7,17.1,10.3,1.6,1.4,0.5,0.349
2011,17,Iman,Shumpert,Iman Shumpert,JR,PG,Georgia Tech,P,9.5,4.2,2.8,0.4,1.7,0.402,127,2.4,17.3,5.9,3.5,0.2,2.7,0.278
2011,18,Chris,Singleton,Chris Singleton,JR,SF,Florida State,P,4.6,3.5,0.7,0.5,1.1,0.346,127,1.5,13.1,6.8,1.2,1.5,2,0.368
2011,19,Tobias,Harris,Tobias Harris,FR,PF,Tennessee,P,17.1,7.1,2.1,0.8,1,0.364,239,4.8,15.3,7.3,1.3,0.9,0.7,0.303
2011,21,Nolan,Smith,Nolan Smith,SR,SG,Duke,B,3.8,1.3,1.4,0.1,0.4,0.289,45,-0.3,20.6,4.5,5.1,0.1,1.2,0.35
2011,22,Kenneth,Faried,Kenneth Faried,SR,PF,Morehead State,M,13.7,9.2,1.2,1.1,1,0.125,8,7.8,17.3,14.5,1.1,2.3,1.9,0
2011,24,Reggie,Jackson,Reggie Jackson,JR,PG,Boston College,P,19.6,4.2,6.6,0.2,0.9,0.357,154,4.9,18.2,4.3,4.5,0.5,1.1,0.42
2011,25,MarShon,Brooks,MarShon Brooks,SR,SG,Providence,P,12.6,3.6,2.3,0.3,0.9,0.313,150,1.3,24.6,7,2.5,1.2,1.5,0.34
2011,26,Jordan,Hamilton,Jordan Hamilton,SO,SF,Texas,B,6.7,3.2,0.9,0.3,0.7,0.354,198,1.6,18.6,7.7,2.1,0.6,0.9,0.385
2011,27,JaJuan,Johnson,JaJuan Johnson,SR,PF,Purdue,P,3.2,1.6,0.2,0.4,0.1,0,0,0.2,20.5,8.6,1,2.3,0.9,0.294
2011,28,Norris,Cole,Norris Cole,SR,PG,Cleveland State,M,8.1,3.3,3.4,0.2,0.9,0.357,98,1.4,21.7,5.8,5.3,0.1,2.2,0.342
2011,29,Cory,Joseph,Cory Joseph,FR,PG,Texas,B,8.4,2.6,2.9,0.3,0.8,0.364,44,4.5,10.4,3.6,3,0.3,1,0.413
2011,30,Jimmy,Butler,Jimmy Butler,SR,SF,Marquette,P,22.2,5.8,4.1,0.8,1.9,0.378,193,11.2,15.7,6.1,2.3,0.4,1.4,0.345
2012,1,Anthony,Davis,Anthony Davis,FR,PF,Kentucky,B,24.4,10.8,2.2,2.9,1.5,0.278,54,14,14.2,10.4,1.3,4.7,1.4,0.15
2012,2,Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,FR,SF,Kentucky,B,10.9,7.6,1.5,0.9,0.7,0.222,9,3.8,11.9,7.4,1.9,0.9,1,0.255
2012,3,Bradley,Beal,Bradley Beal,FR,SG,Florida,P,17.1,3.8,3.3,0.5,1.2,0.409,269,4,14.8,6.7,2.2,0.8,1.4,0.339
2012,4,Dion,Waiters,Dion Waiters,SO,SG,Syracuse,B,15.9,3.1,3,0.3,1.1,0.368,250,1.6,12.6,2.3,2.5,0.3,1.8,0.363
2012,5,Thomas,Robinson,Thomas Robinson,JR,PF,Kansas,B,5.7,5.6,0.7,0.5,0.6,0,2,1.6,17.7,11.9,1.8,0.9,1.1,0.5
2012,6,Damian,Lillard,Damian Lillard,JR,PG,Weber State,M,24.8,4.6,7,0.3,1.2,0.394,554,10.6,24.5,5,4,0.2,1.5,0.409
2012,7,Harrison,Barnes,Harrison Barnes,SO,SF,North Carolina,B,12.5,5.5,1.9,0.3,0.9,0.405,215,6.7,17.1,5.2,1.1,0.3,1.1,0.358
2012,8,Terrence,Ross,Terrence Ross,SO,SG,Washington,P,10.9,3.1,1,0.4,0.8,0.395,408,4.2,16.4,6.4,1.4,0.9,1.3,0.371
2012,9,Andre,Drummond,Andre Drummond,FR,C,Connecticut,B,18,15.4,0.8,1.9,1.8,0.5,2,9.9,10,7.6,0.4,2.7,0.8,0
2012,10,Austin,Rivers,Austin Rivers,FR,SG,Duke,B,8.3,2,2.3,0.2,0.7,0.364,99,1.5,15.5,3.4,2.1,0,1,0.365
2012,11,Meyers,Leonard,Meyers Leonard,SO,C,Illinois,P,8.5,4.8,1.5,0.6,0.2,0.42,112,2.8,13.6,8.2,1.3,1.9,0.5,0.091
2012,12,Jeremy,Lamb,Jeremy Lamb,SO,SG,Connecticut,B,11.4,4.6,1.5,0.4,0.7,0.356,247,3.3,17.7,4.9,1.7,0.6,1.2,0.336
2012,13,Kendall,Marshall,Kendall Marshall,SO,PG,North Carolina,B,8,2.9,8.8,0.1,0.9,0.399,178,0.9,8.1,2.6,9.8,0.2,1.2,0.354
2012,14,John,Henson,John Henson,JR,PF,North Carolina,B,11.1,7.1,1.6,2,0.6,0,3,3.6,13.7,9.9,1.3,2.9,0.6,0
2012,15,Maurice,Harkless,Maurice Harkless,FR,SF,St John's,P,8.2,4.4,1,0.8,1.2,0.383,153,2.8,15.5,8.6,1.5,1.4,1.6,0.215
2012,16,Royce,White,Royce White,SO,SF,Iowa State,P,0,0,0,0,0,0,0,0,13.4,9.3,5,0.9,1.2,0.333
2012,17,Tyler,Zeller,Tyler Zeller,SR,C,North Carolina,B,10.2,5.7,1.4,0.9,0.5,0,4,6.5,16.3,9.6,0.9,1.5,0.9,0
2012,18,Terrence,Jones,Terrence Jones,SO,PF,Kentucky,B,11.7,6.9,1.1,1.8,0.7,0.386,57,7.3,12.3,7.2,1.3,1.9,1.3,0.327
2012,19,Andrew,Nicholson,Andrew Nicholson,SR,PF,St Bonaventure,M,7.8,4.2,0.6,0.4,0.3,0.375,64,1.7,18.5,8.4,1,2,0.7,0.434
2012,21,Jared,Sullinger,Jared Sullinger,SO,PF,Ohio State,B,13.3,8.8,2.3,0.7,0.9,0.283,184,4,17.5,9.2,1.2,1.1,1.2,0.4
2012,22,Fab,Melo,Fab Melo,SO,C,Syracuse,B,1.2,0.5,0,0.3,0.3,0,0,0,7.8,5.8,0.7,2.9,0.5,0
2012,23,John,Jenkins,John Jenkins,JR,SG,Vanderbilt,P,6.1,1.7,0.9,0.2,0.4,0.384,138,1.7,19.9,2.9,1.2,0.3,0.8,0.439
2012,24,Jared,Cunningham,Jared Cunningham,JR,SG,Oregon State,P,3.3,0.9,0.6,0.1,0.4,0.357,28,0.1,17.9,3.8,2.8,0.4,2.5,0.338
2012,25,Tony,Wroten,Tony Wroten,FR,PG,Washington,P,16.9,3.2,5.2,0.3,1.6,0.261,142,0.3,16,5,3.7,0.4,1.9,0.161
2012,26,Miles,Plumlee,Miles Plumlee,SR,PF,Duke,B,8.1,7.8,0.5,1.1,0.5,0,0,4,6.6,7.1,0.5,0.9,0.5,0
2012,27,Arnett,Moultrie,Arnett Moultrie,JR,PF,Mississippi State,P,3.7,3.1,0.2,0.2,0.4,0,0,1.7,16.4,10.5,1.2,0.8,0.8,0.444
2012,28,Perry,Jones,Perry Jones,SO,PF,Baylor,P,4.3,1.8,0.4,0.3,0.4,0.361,61,1.5,13.5,7.6,1.3,0.6,0.8,0.303
2012,29,Marquis,Teague,Marquis Teague,FR,PG,Kentucky,B,2.7,1,1.5,0.1,0.3,0.278,18,-0.1,10,2.5,4.8,0.3,0.9,0.325
2012,30,Festus,Ezeli,Festus Ezeli,SR,C,Vanderbilt,P,8.1,6.2,0.8,1.3,0.4,0,0,2.4,10.1,5.9,0.3,2,0.4,0
2013,1,Anthony,Bennett,Anthony Bennett,FR,PF,UNLV,M,5.2,3.8,0.8,0.3,0.5,0.304,23,0.3,16.1,8.1,1,1.2,0.7,0.375
2013,2,Victor,Oladipo,Victor Oladipo,JR,SG,Indiana,P,17.9,4.8,4.1,0.7,1.7,0.339,248,3.5,13.6,6.3,2.1,0.8,2.2,0.441
2013,3,Otto,Porter,Otto Porter,SO,SF,Georgetown,P,12.5,5.7,2.2,0.4,1.6,0.337,104,2.7,16.2,7.5,2.7,0.9,1.8,0.422
2013,4,Cody,Zeller,Cody Zeller,SO,PF,Indiana,P,8.9,5.9,1.6,0.8,0.9,1,1,3.8,16.5,8,1.3,1.3,1,0
2013,5,Alex,Len,Alex Len,SO,C,Maryland,P,6.3,6.6,0.7,1.5,0.5,0.333,1,3.4,11.9,7.8,1,2.1,0.2,0.125
2013,6,Nerlens,Noel,Nerlens Noel,FR,C,Kentucky,B,10.6,8.2,1.4,1.9,1.8,0,0,4,10.5,9.5,1.6,4.4,2.1,0
2013,7,Ben,McLemore,Ben McLemore,FR,SG,Kansas,B,12.1,2.9,1.7,0.2,0.9,0.358,391,2.5,15.9,5.2,2,0.7,1,0.42
2013,8,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,SO,SG,Georgia,P,14.4,3.7,2,0.2,1.6,0.345,444,3.4,18.5,7.1,1.8,0.5,2,0.373
2013,9,Trey,Burke,Trey Burke,SO,PG,Michigan,P,12.8,3,5.7,0.2,0.9,0.353,156,2.4,18.6,3.2,6.7,0.5,1.6,0.384
2013,10,CJ,McCollum,CJ McCollum,SR,PG,Lehigh,M,20.9,3.2,4.4,0.2,1.2,0.398,241,3.1,23.9,5,2.9,0.3,1.4,0.516
2013,11,Michael,Carter-Williams,Michael Carter-Williams,SO,PG,Syracuse,B,16.7,6.2,6.7,0.7,1.9,0.264,208,1.3,11.9,5,7.3,0.5,2.7,0.294
2013,12,Steven,Adams,Steven Adams,FR,C,Pittsburgh,P,7.7,7.5,0.9,1.2,0.5,0,2,4.1,7.2,6.3,0.6,2,0.7,0
2013,13,Kelly,Olynyk,Kelly Olynyk,JR,PF,Gonzaga,M,10.3,5.2,1.7,0.6,1,0.391,110,3.6,17.8,7.3,1.7,1.1,0.7,0.3
2013,14,Shabazz,Muhammad,Shabazz Muhammad,FR,SF,UCLA,B,13.5,4.1,1.2,0.2,0.5,0.392,51,2,17.9,5.2,0.8,0.1,0.7,0.377
2013,18,Shane,Larkin,Shane Larkin,SO,PG,Miami (FL),P,6.8,2.3,3.7,0.1,1.3,0.4,50,1.7,14.5,3.8,4.6,0.1,2,0.406
2013,20,Tony,Snell,Tony Snell,JR,SF,New Mexico,M,6.4,3.5,0.9,0.4,0.3,0.398,103,2.4,12.5,2.6,2.9,0.5,0.8,0.39
2013,21,Gorgui,Dieng,Gorgui Dieng,JR,C,Louisville,P,9.7,8.3,2,1.7,1,1,1,4.9,9.8,9.4,2,2.5,1.3,0
2013,22,Mason,Plumlee,Mason Plumlee,SR,C,Duke,B,9.3,8,2.7,0.9,0.8,0,3,4.8,17.1,9.9,1.9,1.4,1,0
2013,23,Solomon,Hill,Solomon Hill,SR,SF,Arizona,P,8.9,3.8,2.2,0.3,0.8,0.327,208,3.5,13.4,5.3,2.7,0.6,1.1,0.39
2013,24,Tim,Hardaway,Tim Hardaway,JR,SG,Michigan,P,11.5,2.2,1.8,0.2,0.5,0.363,358,3.1,14.5,4.7,2.4,0.4,0.7,0.374
2013,25,Reggie,Bullock,Reggie Bullock,JR,SG,North Carolina,B,2.7,1.4,0.3,0.1,0.3,0.438,48,0.2,13.9,6.5,2.9,0.3,1.3,0.436
2013,26,Andre,Roberson,Andre Roberson,JR,SF,Colorado,P,4.9,3.8,1,0.7,0.9,0.276,58,2.1,10.9,11.2,1.4,1.3,2.2,0.328
2013,29,Archie,Goodwin,Archie Goodwin,FR,SG,Kentucky,B,5.6,1.8,1.1,0.2,0.4,0.293,41,0.4,14.1,4.6,2.7,0.5,1.1,0.266
